Deal Type,Completion Date,"P1, Start (-1)","P1, End (+1)","P2, Start (-5)","P2, End (+5)","P3, Start (0)","P3, End (+365)","P4, Start (0)","P4, End (+250)","P5, Start (-1)","P5, End (0)",Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status,Target ISIN,Acquirer ISIN,Ticker Acquirer,Seller ISIN,Ticker Seller,Bloomberg Search,Action ID,Action ID Bloomberg,Deal Description,Percent Owned,Percent Sought,Acq P1,Acq P2,Acq P3,Acq P4,Acq P5,Sel P1,Sel P2,Sel P3,Sel P4,Sel P5,Acq Ticker P1,Acq Ticker P2,Acq Ticker P3,Acq Ticker P4,Acq Ticker P5,Sel Ticker P1,Sel Ticker P2,Sel Ticker P3,Sel Ticker P4,Sel Ticker P5,"P1, Start (-1)","P1, End (+1)","P2, Start (-5)","P2, End (+5)","P3, Start (0)","P3, End (+365)","P4, Start (0)","P4, End (+250)","P5, Start (-1)","P5, End (0)",Acq Rel index,Sel Rel Index,Acq CAR P1,Acq CAR P2,Acq CAR P3,Acq CAR P4,Acq CAR P5,Sel CAR P1,Sel CAR P2,Sel CAR P3,Sel CAR P4,Sel CAR P5
M&A,5/1/2013,4/30/2013,5/2/2013,4/26/2013,5/6/2013,5/1/2013,5/1/2014,5/1/2013,1/6/2014,4/30/2013,5/1/2013,T-Mobile USA Inc,T-Mobile US Inc,Deutsche Telekom AG,28975.91,Stock,5.38,Completed,US9286151033,US8725901040,TMUS US Equity,DE0005557508,DTE GR Equity,CACX,69466926,CACX 69466926,"Deutsche Telekom AG sold T-Mobile USA Inc (formerly known as MetroPCS Communications Inc) to T-Mobile US Inc for USD 28,975.91M. As a result, T-Mobile took the spot of MetroPCS on the exchange after the reverse merger. The transaction was announced on 10/03/2012 and completed on 05/01/2013. U...",0,100,0.1151371,0.1054344,0.9158595,1.026634,0.03961993,-0.000443476,0.01337791,0.4330672,0.4581146,#VALUE!,0.000139106,0.02256102,0.2154362,0.1715767,-0.009263333,0.006065423,0.038046,0.2134929,0.1913502,#VALUE!,20130430,20130502,20130426,20130506,20130501,20140501,20130501,20140106,20130430,20130501,SPX Index,DAX Index,0.114997994,0.08287338,0.7004233,0.8550573,0.048883263,-0.006508899,-0.02466809,0.2195743,0.2667644,#VALUE!
M&A,10/1/2007,9/30/2007,10/2/2007,9/26/2007,10/6/2007,10/1/2007,9/30/2008,10/1/2007,6/7/2008,9/30/2007,10/1/2007,BAC North America Holding Co,Bank of America Corp,RBS Holdings NV,21000,Cash, ,Completed,    N.A.,US0605051046,BAC US Equity,NL0000301109,3577044Z NA Equity,CACX,26052044,CACX 26052044,"RBS Holdings NV sold BAC North America Holding Co to Bank of America Corp for USD 21,000.00M. The transaction was announced on 04/23/2007 and completed on 10/01/2007. Bank of America Corp won against a higher bid from a consortium led by Banco Santander SA.",0,100,0.02884424,0.04562587,-0.2587391,-0.366348,0.007360255,0.01488498,0.02139182,#VALUE!,#VALUE!,0.01109608,0.01303835,0.02166332,-0.2294177,-0.1069552,0.01329734,0.003604592,0.01340449,-0.3667268,-0.1093754,0.008484652,20070930,20071002,20070926,20071006,20071001,20080930,20071001,20080607,20070930,20071001,SPX Index,AEX Index,0.01580589,0.02396255,-0.0293214,-0.2593928,-0.005937085,0.011280388,0.00798733,#VALUE!,#VALUE!,0.002611428
M&A,3/19/2013,3/18/2013,3/20/2013,3/14/2013,3/24/2013,3/19/2013,3/19/2014,3/19/2013,11/24/2013,3/18/2013,3/19/2013,NBCUniversal LLC,Comcast Corp,General Electric Co,16700,Cash and Stock, ,Completed,    N.A.,US20030N1019,CMCSA US Equity,US3696041033,GE US Equity,CACX,73971842,CACX 73971842,"General Electric Co sold NBCUniversal LLC to Comcast Corp for USD 16700.00M. The transaction was announced on 02/12/2013 and completed on 03/19/2013. Upon completion, GE's sale to Comcast was the second largest divestiture in the communications industry in 2013.",51,49,0.01511023,0.001457726,0.2649682,0.251135,-0.005945008,0.009032258,-0.01350781,0.1199893,0.1798186,0.003010753,0.004286842,-0.004002295,0.2272667,0.1824308,-0.002405027,0.004286842,-0.004002295,0.2272667,0.1824308,-0.002405027,20130318,20130320,20130314,20130324,20130319,20140319,20130319,20131124,20130318,20130319,SPX Index,SPX Index,0.010823388,0.005460021,0.0377015,0.0687042,-0.003539981,0.004745416,-0.009505515,-0.1072774,-0.0026122,0.00541578
M&A,5/21/2008,5/20/2008,5/22/2008,5/16/2008,5/26/2008,5/21/2008,5/21/2009,5/21/2008,1/26/2009,5/20/2008,5/21/2008,Residential mortgage-backed securities,BlackRock Inc,UBS AG,15000,Cash, ,Completed,,US09247X1019,BLK US Equity,CH0024899483,UBSN VX Equity,CACX,31796639,CACX 31796639,"UBS AG sold Residential mortgage-backed securities to BlackRock Inc for USD 15,000.00M. The transaction was completed on 05/21/2008.",0,100,-0.01592064,-0.03646026,-0.2775866,-0.4590468,-0.02840552,-0.02394455,-0.1231343,-0.4222667,-0.4960124,-0.03465658,-0.0132225,-0.03437916,-0.343702,-0.3880882,-0.01598291,-0.006365932,-0.03751855,-0.2504013,-0.2841437,-0.006858914,20080520,20080522,20080516,20080526,20080521,20090521,20080521,20090126,20080520,20080521,SPX Index,SMI Index,-0.00269814,-0.0020811,0.0661154,-0.0709586,-0.01242261,-0.017578618,-0.08561575,-0.1718654,-0.2118687,-0.027797666
M&A,11/19/2007,11/18/2007,11/20/2007,11/14/2007,11/24/2007,11/19/2007,11/18/2008,11/19/2007,7/26/2008,11/18/2007,11/19/2007,Organon BioSciences BV,Schering-Plough Corp/Pre-merger with Merck & Co In,Akzo Nobel NV,14503.5,Cash, ,Completed,NL0000440303,US8066051017,SGP US Equity,NL0000009132,AKZA NA Equity,CACX,25500384,CACX 25500384,"Akzo Nobel NV sold Organon BioSciences BV to Schering-Plough Corp/Pre-merger with Merck & Co Inc for EUR 11,000.00M. The transaction was announced on 03/12/2007 and completed on 11/19/2007. As of completion date, this is the largest deal completed in the pharmaceuticals Industry since 06/26/2...",0,100,-0.0173449,-0.006469186,-0.4605106,-0.3424535,-0.01267512,-0.02799768,-0.03927492,-0.4246349,-0.1192372,-0.03359722,-0.01297529,-0.02000976,-0.386481,-0.1094892,-0.0174382,-0.01247798,-0.03874533,-0.4663517,-0.1710003,-0.0179771,20071118,20071120,20071114,20071124,20071119,20081118,20071119,20080726,20071118,20071119,SPX Index,AEX Index,-0.00436961,0.013540574,-0.0740296,-0.2329643,0.00476308,-0.0155197,-0.00052959,0.0417168,0.0517631,-0.01562012
M&A,11/1/2010,10/31/2010,11/2/2010,10/27/2010,11/6/2010,11/1/2010,11/1/2011,11/1/2010,7/9/2011,10/31/2010,11/1/2010,American Life Insurance Co,MetLife Inc,American International Group Inc,12585.6,Cash and Stock, ,Completed,    N.A.,US59156R1086,MET US Equity,US0268747849,AIG US Equity,CACX,43643031,CACX 43643031,"American International Group Inc sold American Life Insurance Co to MetLife Inc for USD 12585.60M. The transaction was announced on 03/08/2010 and completed on 11/01/2010. This accelerates MetLife's international expansion into Japan, Europe, the Middle East and Latin America.",0,100,-0.002975453,0.06092125,-0.1606771,0.1082322,-0.009174312,0.002618424,0.0906265,-0.3330833,-0.1474174,-0.002142347,0.008718199,0.03722531,0.04962222,0.1506483,0.000952519,0.008718199,0.03722531,0.04962222,0.1506483,0.000952519,20101031,20101102,20101027,20101106,20101101,20111101,20101101,20110709,20101031,20101101,SPX Index,SPX Index,-0.011693652,0.02369594,-0.21029932,-0.0424161,-0.010126831,-0.006099775,0.05340119,-0.38270552,-0.2980657,-0.003094866
M&A,12/1/2009,11/30/2009,12/2/2009,11/26/2009,12/6/2009,12/1/2009,12/1/2010,12/1/2009,8/8/2010,11/30/2009,12/1/2009,Barclays Global Investors Unit,BlackRock Inc,Barclays PLC,12544.95,Cash and Stock, ,Completed,,US09247X1019,BLK US Equity,GB0031348658,BARC LN Equity,CACX,37963332,CACX 37963332,"Barclays PLC sold Barclays Global Investors Unit to BlackRock Inc for USD 12,544.95M. The transaction was announced on 06/12/2009 and completed on 12/01/2009.",0,100,0.002774353,-0.02978077,-0.243028,-0.2994099,-0.00149727,0.01761587,0.04259705,-0.0798566,0.1060563,0.01265606,0.01260259,-0.003631883,0.1098,0.02475159,0.01212692,0.02684818,0.02519726,0.1018275,0.03033619,0.02340536,20091130,20091202,20091126,20091206,20091201,20101201,20091201,20100808,20091130,20091201,SPX Index,UKX Index,-0.009828237,-0.026148887,-0.352828,-0.32416149,-0.01362419,-0.00923231,0.01739979,-0.1816841,0.07572011,-0.0107493
M&A,10/3/2010,10/2/2010,10/4/2010,9/28/2010,10/8/2010,10/3/2010,10/3/2011,10/3/2010,6/10/2011,10/2/2010,10/3/2010,Coca-Cola Refreshments USA Inc,Coca-Cola Co/The,Coca-Cola Enterprises Inc,12242.83,Stock, ,Completed,    N.A.,US1912161007,KO US Equity,US19122T1097,CCE US Equity,CACX,43364756,CACX 43364756,"Coca-Cola Enterprises Inc sold Coca-Cola Refreshments USA Inc to The Coca-Cola Co for USD 12,242.83M. The transaction was announced on 02/25/2010 and completed on 10/03/2010. This deal is expected to deliver cost and revenue synergies of at least USD 350M over the next four years.",0,100,-0.00405954,0.005245347,0.1381134,0.1218095,#VALUE!,0.006603774,0.05757314,0.1003291,0.2982056,#VALUE!,-0.007965702,0.0159383,-0.02166321,0.1238758,#VALUE!,-0.007965702,0.0159383,-0.02166321,0.1238758,#VALUE!,20101002,20101004,20100928,20101008,20101003,20111003,20101003,20110610,20101002,20101003,SPX Index,SPX Index,0.003906162,-0.010692953,0.15977661,-0.0020663,#VALUE!,0.014569476,0.04163484,0.12199231,0.1743298,#VALUE!
M&A,2/17/2010,2/16/2010,2/18/2010,2/12/2010,2/22/2010,2/17/2010,2/17/2011,2/17/2010,10/25/2010,2/16/2010,2/17/2010,"Transcontinental Gas Pipe Line Co LLC,Northwest Pipeline LLC,Certain Assets,Gulfstream Pipeline",Williams Partners LP,Williams Cos Inc/The,11814.21,Cash and Stock, ,Completed,,US96950F1049,WPZ US Equity,US9694571004,WMB US Equity,CACX,42516733,CACX 42516733,"The Williams Cos Inc sold Transcontinental Gas Pipe Line Co LLC, Northwest Pipeline LLC, Certain Assets & Gulfstream Pipeline to Williams Partners LP. The transaction was announced on 01/19/2010 and completed on 02/17/2010. Upon completion, Williams Partners became one of the leading diversif...",0,100,-0.00264131,0.03695652,0.4030393,0.1867516,0.009772847,-0.009387572,-0.002772643,0.3753969,-0.05259745,0.000894055,0.01110128,0.03078893,0.2436409,0.09267306,0.004406725,0.01110128,0.03078893,0.2436409,0.09267306,0.004406725,20100216,20100218,20100212,20100222,20100217,20110217,20100217,20101025,20100216,20100217,SPX Index,SPX Index,-0.01374259,0.00616759,0.1593984,0.09407854,0.005366122,-0.020488852,-0.033561573,0.131756,-0.14527051,-0.003512671
M&A,6/28/2011,6/27/2011,6/29/2011,6/23/2011,7/3/2011,6/28/2011,6/27/2012,6/28/2011,3/4/2012,6/27/2011,6/28/2011,Shopping Centers In US,Blackstone Group LP/The,Federation Centres,9400,Cash, ,Completed,,US09253U1088,BX US Equity,AU000000FDC2,FDC AU Equity,CACX,52422293,CACX 52422293,Federation Centres Ltd sold Shopping Centers In US to Blackstone Group LP for USD 9400.00M. The transaction was announced on 03/01/2011 and completed on 06/28/2011. Blackstone Group is the second largest owner of community and neighborhood shopping centers in the US.,0,100,0.008,0.06826568,-0.2084295,-0.05293067,0.008615385,0.01515152,-0.01470588,0.1573497,0.06932248,0.01515152,0.02169278,0.04426547,0.05001249,0.07247616,0.01316938,0.01517329,0.02175958,-0.03610617,0.002512254,0.00280156,20110627,20110629,20110623,20110703,20110628,20120627,20110628,20120304,20110627,20110628,SPX Index,AS51 Index,-0.01369278,0.02400021,-0.25844199,-0.12540683,-0.004553995,-2.177E-05,-0.03646546,0.19345587,0.066810226,0.01234996
M&A,2/17/2012,2/16/2012,2/18/2012,2/12/2012,2/22/2012,2/17/2012,2/16/2013,2/17/2012,10/24/2012,2/16/2012,2/17/2012,ING Bank FSB,Capital One Financial Corp,ING Groep NV,9109.15,Cash and Stock, ,Completed,    N.A.,US14040H1059,COF US Equity,NL0000303600,INGA NA Equity,CACX,55453466,CACX 55453466,ING Groep NV sold ING Bank FSB to Capital One Financial Corp for USD 9109.15M. The transaction was announced on 06/16/2011 and completed on 02/17/2012. The cross border  takeover by Capital One Financial was one of the largest valued deals in the savings & loans sector in the past five years.,0,100,-0.009332522,-0.000621375,0.1104738,0.2242907,-0.009332522,0.02415387,0.02099089,-0.04469355,-0.01208327,0.02415387,0.002374216,0.01215703,0.1417816,0.05009692,0.002374216,0.00894635,0.02497879,0.08750255,0.03306117,0.00894635,20120216,20120218,20120212,20120222,20120217,20130216,20120217,20121024,20120216,20120217,SPX Index,AEX Index,-0.011706738,-0.012778405,-0.0313078,0.17419378,-0.011706738,0.01520752,-0.0039879,-0.1321961,-0.04514444,0.01520752
M&A,12/1/2008,11/30/2008,12/2/2008,11/26/2008,12/6/2008,12/1/2008,12/1/2009,12/1/2008,8/8/2009,11/30/2008,12/1/2008,Itinere Infraestructuras SA,Citigroup Inc,Sacyr SA,8302.39,Cash, ,Completed,ES0133848012,US1729674242,C US Equity,ES0182870214,SCYR SM Equity,CACX,34534276,CACX 34534276,Sacyr SA announced the sale of a 54.4% stake in Itinere Infraestructuras SA to Citigroup Inc for EUR 6576.15M. The transaction was announced and completed on 12/01/2008. The sale was important for Sacyr in reducing its debt burden.,0,54.400002,-0.1290712,0.09361702,-0.3627112,-0.4015703,-0.2219542,0.03439157,-0.106274,0.2257218,0.4744094,0.0079365,-0.05278671,-0.01231921,0.3932331,0.2605901,-0.08923206,-0.007832594,-0.01814522,0.4756277,0.3467359,-0.04465577,20081130,20081202,20081126,20081206,20081201,20091201,20081201,20090808,20081130,20081201,SPX Index,IBEX Index,-0.07628449,0.10593623,-0.7559443,-0.6621604,-0.13272214,0.042224164,-0.08812878,-0.2499059,0.1276735,0.05259227
M&A,7/1/2010,6/30/2010,7/2/2010,6/26/2010,7/6/2010,7/1/2010,7/1/2011,7/1/2010,3/8/2011,6/30/2010,7/1/2010,4.8 million access lines,Frontier Communications Corp,Verizon Communications Inc,8244.79,Stock, ,Completed,,US35906A1088,FTR US Equity,US92343V1044,VZ US Equity,CACX,37310521,CACX 37310521,"Verizon Communications Inc sold 4.8 million access lines to Frontier Communications Corp for USD 8,244.79M. The transaction was announced on 05/13/2009 and completed on 07/01/2010.",0,100,0.03375527,-0.06887417,0.1678146,0.1008724,0.08157525,0.02400084,-0.002505766,0.524638,0.4526864,0.003925767,-0.007796374,-0.04481301,0.3301084,0.3044695,-0.003182509,-0.007796374,-0.04481301,0.3301084,0.3044695,-0.003182509,20100630,20100702,20100626,20100706,20100701,20110701,20100701,20110308,20100630,20100701,SPX Index,SPX Index,0.041551644,-0.02406116,-0.1622938,-0.2035971,0.084757759,0.031797214,0.042307244,0.1945296,0.1482169,0.007108276
M&A,11/28/2008,11/27/2008,11/29/2008,11/23/2008,12/3/2008,11/28/2008,11/28/2009,11/28/2008,8/5/2009,11/27/2008,11/28/2008,WiMAX Business,Clearwire Corp,Sprint Communications Inc,7395,Stock, ,Completed,,US18538Q1058,CLWR US Equity,US8520611000,0848680D US Equity,CACX,31578411,CACX 31578411,"Sprint Communications Inc sold WiMAX Business to Clearwire Corp for USD 7,395.00M. The transaction was announced on 05/07/2008 and completed on 11/28/2008.",0,100,0.09966778,0.2572816,-0.1435045,0.244713,0.09966778,0.116,0.502924,0.344086,0.4193548,0.116,0.009673963,0.08976091,0.2488512,0.1391228,0.009673963,0.009673963,0.08976091,0.2488512,0.1391228,0.009673963,20081127,20081129,20081123,20081203,20081128,20091128,20081128,20090805,20081127,20081128,SPX Index,SPX Index,0.089993817,0.16752069,-0.3923557,0.1055902,0.089993817,0.106326037,0.41316309,0.0952348,0.280232,0.106326037
M&A,11/30/2007,11/29/2007,12/1/2007,11/25/2007,12/5/2007,11/30/2007,11/29/2008,11/30/2007,8/6/2008,11/29/2007,11/30/2007,Global Biscuit Business,Mondelez International Inc,Danone SA,7217.54,Cash, ,Completed,,US6092071058,MDLZ US Equity,FR0000120644,BN FP Equity,CACX,27104320,CACX 27104320,"Danone sold Global Biscuit Business to Mondelez International Inc for EUR 5,300.00M. The transaction was announced on 07/03/2007 and completed on 11/30/2007.  As of the announcement date, this was the third largest deal completed in the food industry year to date.",0,100,0.006408389,0.04156699,-0.18465,-0.04113049,0.006408389,-0.002317934,-0.004456924,-0.2336622,-0.1628257,-0.002317934,0.007775641,0.0326202,-0.3809743,-0.1172208,0.007775641,0.01312641,0.02541332,-0.4012436,-0.1907945,0.01312641,20071129,20071201,20071125,20071205,20071130,20081129,20071130,20080806,20071129,20071130,SPX Index,CAC Index,-0.001367252,0.00894679,0.1963243,0.07609031,-0.001367252,-0.015444344,-0.029870244,0.1675814,0.0279688,-0.015444344
M&A,11/1/2010,10/31/2010,11/2/2010,10/27/2010,11/6/2010,11/1/2010,11/1/2011,11/1/2010,7/9/2011,10/31/2010,11/1/2010,LG&E and KU Energy LLC,PPL Corp,E.ON SE,6700,Cash,10.06,Completed,US5019171082,US69351T1060,PPL US Equity,DE000ENAG999,EOAN GR Equity,CACX,44908380,CACX 44908380,"E.ON SE sold LG&E and KU Energy LLC to PPL Corp for USD 6,700.00M. The transaction was announced on 04/29/2010 and completed on 11/01/2010.",0,100,-0.001489203,0.01886792,0.1624114,0.1086495,-0.02047654,0.003992823,0.01710176,-0.2072946,-0.05662102,-0.004658449,0.008718199,0.03722531,0.04962222,0.1506483,0.000952519,0.008019538,0.0283496,-0.1166338,0.1208005,0.00052864,20101031,20101102,20101027,20101106,20101101,20111101,20101101,20110709,20101031,20101101,SPX Index,DAX Index,-0.010207402,-0.01835739,0.11278918,-0.0419988,-0.021429059,-0.004026715,-0.01124784,-0.0906608,-0.17742152,-0.005187089
M&A,4/1/2011,3/31/2011,4/2/2011,3/27/2011,4/6/2011,4/1/2011,3/31/2012,4/1/2011,12/7/2011,3/31/2011,4/1/2011,Electric Distribution Business,PPL Corp,E.ON SE,6656.48,Cash, ,Completed,,US69351T1060,PPL US Equity,DE000ENAG999,EOAN GR Equity,CACX,52465643,CACX 52465643,"E.ON SE sold Electric Distribution Business to PPL Corp for GBP 4,090.00M. The transaction was announced on 03/01/2011 and completed on 04/01/2011.",0,100,0.01581028,0.04070004,0.1557568,0.181437,0.01581028,0.005309315,0.03551403,-0.1144903,-0.1390537,0.005309315,0.004975135,0.01743914,0.07990119,-0.03936005,0.004975135,0.01966964,0.03868933,-0.03244932,-0.1650573,0.01966964,20110331,20110402,20110327,20110406,20110401,20120331,20110401,20111207,20110331,20110401,SPX Index,DAX Index,0.010835145,0.0232609,0.07585561,0.22079705,0.010835145,-0.014360325,-0.0031753,-0.08204098,0.0260036,-0.014360325
M&A,10/2/2007,10/1/2007,10/3/2007,9/27/2007,10/7/2007,10/2/2007,10/1/2008,10/2/2007,6/8/2008,10/1/2007,10/2/2007,Merck Generics,Mylan Inc/PA,Merck KGaA,6620.88,Cash, ,Completed,    N.A.,US6285301072,MYL US Equity,DE0006599905,MRK GR Equity,CACX,26352691,CACX 26352691,"Merck KGaA sold Merck Generics to Mylan Inc/PA for EUR 4900.00M. The transaction was announced on 05/12/2007 and completed on 10/02/2007. Year to date, this is the fifth-largest acquisition in the pharmaceuticals industry and made Mylan the third-largest generics company.",0,100,0.02242424,0.01477833,-0.3257621,-0.2384937,0.01393939,0.04314054,-0.01346431,-0.09781807,0.06881789,0.03812144,-0.004607864,0.01765192,-0.2326056,-0.1067268,-0.000255591,0.004150232,0.01889408,-0.269349,-0.1438291,0.003076095,20071001,20071003,20070927,20071007,20071002,20081001,20071002,20080608,20071001,20071002,SPX Index,DAX Index,0.027032104,-0.00287359,-0.0931565,-0.1317669,0.014194981,0.038990308,-0.03235839,0.17153093,0.21264699,0.035045345
M&A,2/16/2010,2/15/2010,2/17/2010,2/11/2010,2/21/2010,2/16/2010,2/16/2011,2/16/2010,10/24/2010,2/15/2010,2/16/2010,Pharmaceuticals Business,Abbott Laboratories,Solvay SA,6577.2,Cash, ,Completed,,US0028241000,ABT US Equity,BE0003470755,SOLB BB Equity,CACX,40061515,CACX 40061515,"Solvay SA sold Pharmaceuticals Business to Abbott Laboratories for EUR 4,500.00M. The transaction was announced on 09/28/2009 and completed on 02/16/2010.",0,100,0.0152049,0.0156892,-0.1223957,-0.01201405,0.01223809,0.05012172,0.0379856,0.1651923,0.16021,0.02720896,0.02262493,0.02923948,0.245186,0.09512554,0.01813827,0.02573692,0.03013295,0.1503989,0.1167239,0.01048659,20100215,20100217,20100211,20100221,20100216,20110216,20100216,20101024,20100215,20100216,SPX Index,BEL20 Index,-0.00742003,-0.01355028,-0.3675817,-0.10713959,-0.00590018,0.0243848,0.00785265,0.0147934,0.0434861,0.01672237
M&A,8/13/2012,8/12/2012,8/14/2012,8/8/2012,8/18/2012,8/13/2012,8/13/2013,8/13/2012,4/20/2013,8/12/2012,8/13/2012,"El Paso Natural Gas Co/North American Pipeline,Tennessee Gas Pipeline Co/North American Pipeline",Kinder Morgan Energy Partners LP,Kinder Morgan Inc/DE,6220,Cash,2.24,Completed,,US4945501066,KMP US Equity,US49456B1017,KMI US Equity,CACX,67205336,CACX 67205336,"Kinder Morgan Inc/DE sold El Paso Natural Gas Co/North American Pipeline & Tennessee Gas Pipeline Co/North American Pipeline to Kinder Morgan Energy Partners LP for USD 6220.00M. The transaction was announced on 08/06/2012 and completed on 08/13/2012. As of announcement, this is the fourth la...",0,100,0.009034306,0.02470515,0.06875374,0.1484346,-0.004761323,0.003752887,-0.05312673,0.1133446,0.1420339,0.002598152,-0.001013881,0.01265623,0.233814,0.1247496,-0.001060756,-0.001013881,0.01265623,0.233814,0.1247496,-0.001060756,20120812,20120814,20120808,20120818,20120813,20130813,20120813,20130420,20120812,20120813,SPX Index,SPX Index,0.010048187,0.01204892,-0.16506026,0.023685,-0.003700567,0.004766768,-0.06578296,-0.1204694,0.0172843,0.003658908
