Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status,Action ID,Target Industry Sector,Acquirer Industry Sector,Seller Industry Sector,Target Shareholders,Acquirer Shareholders,Seller Shareholders
M&A,10/3/2012,T-Mobile USA Inc,T-Mobile US Inc,Deutsche Telekom AG,28975.91,Stock,5.38,Completed,69466926,Communications,Communications,Communications, ,4/24/2013, 
M&A,6/5/2008,Alltel Corp,"Verizon Communications Inc,Vodafone Group PLC","Goldman Sachs Capital Partners (Fund: GS Capital Partners VI LP),AXA SA (Fund: AXA Co-investment Fund III LP),TPG Capital Management LP (Fund: TPG Partners V LP)",28100,Cash,8.83,Completed,32031963,Communications,,, , , 
M&A,4/23/2007,BAC North America Holding Co,Bank of America Corp,RBS Holdings NV,21000,Cash, ,Completed,26052044,"Consumer, Non-cyclical",Financial,Financial, , , 
M&A,2/12/2013,NBCUniversal LLC,Comcast Corp,General Electric Co,16700,Cash and Stock, ,Completed,73971842,Communications,Communications,Industrial, , , 
M&A,11/26/2012,Archstone Enterprise LP,"Equity Residential,AvalonBay Communities Inc",Lehman Brothers Holdings Inc,16094,Cash and Stock, ,Completed,71128328,Financial,,Financial, , , 
M&A,5/21/2008,Residential mortgage-backed securities,BlackRock Inc,UBS AG,15000,Cash, ,Completed,31796639,,Financial,Financial, , , 
M&A,3/12/2007,Organon BioSciences BV,Schering-Plough Corp/Pre-merger with Merck & Co In,Akzo Nobel NV,14503.5,Cash, ,Completed,25500384,"Consumer, Non-cyclical","Consumer, Non-cyclical",Basic Materials, , ,9/30/2006
M&A,3/8/2010,American Life Insurance Co,MetLife Inc,American International Group Inc,12585.6,Cash and Stock, ,Completed,43643031,Financial,Financial,Financial, , , 
M&A,6/12/2009,Barclays Global Investors Unit,BlackRock Inc,Barclays PLC,12544.95,Cash and Stock, ,Completed,37963332,,Financial,Financial, ,12/1/2009,8/6/2009
M&A,2/25/2010,Coca-Cola Refreshments USA Inc,Coca-Cola Co/The,Coca-Cola Enterprises Inc,12242.83,Stock, ,Completed,43364756,"Consumer, Non-cyclical","Consumer, Non-cyclical","Consumer, Non-cyclical", , ,10/1/2010
M&A,1/19/2010,"Transcontinental Gas Pipe Line Co LLC,Northwest Pipeline LLC,Certain Assets,Gulfstream Pipeline",Williams Partners LP,Williams Cos Inc/The,11814.21,Cash and Stock, ,Completed,42516733,,Energy,Energy, , , 
M&A,1/20/2012,Archstone Enterprise LP,Lehman Brothers Holdings Inc,"Barclays PLC,Bank of America Corp",11805.64,Cash, ,Completed,61227219,Financial,Financial,, , , 
