Action ID Bloomberg,Action ID,some number,Announce Date,Ticker Acquirer,Tobin's Q,SIC,Market Cap
CACX 69466926, 69466926,41185,20121003,TMUS US Equity,1.025923943,4812,3623.056812
CACX 26052044, 26052044,39195,20070423,BAC US Equity,1.023729126,6021,183107.1524
CACX 73971842, 73971842,41317,20130212,CMCSA US Equity,1.533680206,4841,135449.3545
CACX 31796639, 31796639,39589,20080521,BLK US Equity,1.183979241,6282,15734.60241
CACX 25500384, 25500384,39153,20070312,SGP US Equity,2.21067499,2834,43183.44
CACX 43643031, 43643031,40245,20100308,MET US Equity,0.996286298,6311,43810.63259
CACX 37963332, 37963332,39976,20090612,BLK US Equity,0.944108071,6282,14372.306
CACX 43364756, 43364756,40234,20100225,KO US Equity,2.642076219,2080,150744.84
CACX 42516733, 42516733,40197,20100119,WPZ US Equity,1.630054418,4923,13521.24942
CACX 52422293, 52422293,40603,20110301,BX US Equity,1.501442376,6799,15656.82871
CACX 55453466, 55453466,40710,20110616,COF US Equity,0.950418009,6022,19451.16781
CACX 34534276, 34534276,39783,20081201,C US Equity,0.982256087,6021,36569.95628
CACX 37310521, 37310521,39946,20090513,FTR US Equity,1.307006745,4813,2439.28168
CACX 31578411, 31578411,39575,20080507,CLWR US Equity,1.149072943,4899,3426.358425
CACX 27104320, 27104320,39266,20070703,MDLZ US Equity,1.334403078,2000,50032.06845
CACX 44908380, 44908380,40297,20100429,PPL US Equity,1.137431895,4911,12722.85112
CACX 52465643, 52465643,40603,20110301,PPL US Equity,1.145110559,4911,17016.6751
CACX 26352691, 26352691,39214,20070512,MYL US Equity,1.077261098,2834,4279.514848
CACX 40061515, 40061515,40084,20090928,ABT US Equity,2.161690846,2834,83747.53813
CACX 67205336, 67205336,41127,20120806,KMP US Equity,1.494101199,4922,29776.68353
CACX 29143737, 29143737,39418,20071202,ATVI US Equity,0.986916208,7372,11337.74295
CACX 30708034, 30708034,39524,20080317,IP US Equity,1.032530747,2621,5044.5
CACX 68608092, 68608092,41162,20120910,PXP US Equity,1.146493614,1311,6050.566
CACX 24779071, 24779071,39097,20070115,GE US Equity,1.320078844,3600,370240.2949
CACX 48570327, 48570327,40451,20100930,PRU US Equity,0.992787528,6311,28521.318
CACX 78606303, 78606303,41163,20120911,MS US Equity,0.970731773,6211,37743.68539
CACX 36740205, 36740205,39916,20090413,ESRX US Equity,2.694239049,5912,23766.10494
CACX 32012206, 32012206,39603,20080604,SJM US Equity,0.966541264,2033,4665.831646
CACX 62899308, 62899308,40996,20120328,PNR US Equity,1.316318261,3550,10129.815
CACX 41731625, 41731625,40162,20091215,WFC US Equity,1.029325128,6021,139771.0778
CACX 52618088, 52618088,40609,20110307,WDC US Equity,1.375599901,3572,8537.12
CACX 71039619, 71039619,41234,20121121,GM US Equity,1.09061282,3711,39392.54875
CACX 28954921, 28954921,39406,20071120,GE US Equity,1.320078844,3600,370240.2949
CACX 26651770, 26651770,39237,20070604,L US Equity,1.119204806,6331,26664.27383
CACX 48472318, 48472318,40448,20100927,GE US Equity,1.100588301,3600,194155.227
CACX 75274516, 75274516,41354,20130321,ETP US Equity,1.173254309,4922,19111.5598
CACX 45477830, 45477830,40319,20100521,ABT US Equity,1.849198082,2834,74116.00095
CACX 31544275, 31544275,39573,20080505,JPM US Equity,0.992069249,6021,117695.204
CACX 43790833, 43790833,40252,20100315,CNX US Equity,1.669283935,1222,11023.14236
CACX 55506701, 55506701,40714,20110620,PNC US Equity,0.992537343,6021,30392.09
CACX 22982660, 22982660,38953,20060824,RAD US Equity,1.27485687,5912,3118.14566
CACX 23975130, 23975130,39041,20061120,BAC US Equity,1.072341595,6021,238020.7028
CACX 47586304, 47586304,40379,20100720,APA US Equity,1.516812145,1311,45592.5674
